Food	Variety	Preorpost	Portion_Amount	Unit	Added_Sugars	Calories
Marshmallow	none	none	one	regular	16.1	23
Marshmallows	none	none	one	Peep chicken or bunny	17.8	25
Milky Way	 candy bar	post	one	1.9 oz bar	121.8	228
Milky Way candy bar	none	none	one	king size bar (3.6 oz)	230.1	431
Peanut brittle	none	none	one	medium piece 	23.0	44
Peanut butter cups	Reese's	pre	one	miniature cup	11.2	36
Hard candy	none	none	one	"roll, 12 pieces"	63.3	102
M&M's 	plain chocolate candies	post	one	package 1.7 ounces	112.0	236
M&M's plain chocolate candies	none	none	a quarter	cup (66 pieces)	121.3	256
Taffy	none	none	one	piece	22.2	37
Dietetic hard candy	none	none	one	Sweet'n Low candy	0.0	14
Dietetic chocolate-covered candy	none	none	one	section candy bar	1.7	40
Chewing gum	 made with sugar	post	one	piece	9.9	10
Coffee	none	none	one	6 fluid counces  cup	0.0	7
Tea	sweetened	pre	one	6 fluid counces  cup	52.5	53
Tonic water	none	none	one	can	124.4	124
Club soda	none	none	one	can	0.0	0
Soft drink	regular	pre	one	can	153.7	155
"Soft drink, diet"	none	none	one	can	0.0	4
Vegetable oil 	none	none	a quarter	cup	0.0	482
Blue cheese dressing	none	none	one	Tablespoon	1.3	77
French dressing	none	none	one	Tablespoon	8.4	71
Italian dressing 	oil and vinegar	post	one	Tablespoon	4.3	43
Mayonnaise	regular	pre	one	Tablespoon	0.0	99
Miracle whip salad dressing	none	none	one	Tablespoon	2.9	57
Ranch dressing	none	none	one	Tablespoon	2.3	71
Sweet & sour dressing	none	none	one	Tablespoon	2.2	2
Thousand island dressing	none	none	one	Tablespoon	8.3	58
salad dressing	Low-calorie 	pre	one	Tablespoon	5.0	24
Low calorie mayonnaise	none	none	a quarter	cup	13.7	145
Fat free Italian dressing	none	none	one	Tablespoon	1.7	7
Fat free thousand island dressing	none	none	one	Tablespoon	9.8	21
Fat free ranch dressing	none	none	one	Tablespoon	3.1	18
White sugar 	granulated or lump	pre	one	teaspoon	16.3	16
confectioner's sugar	none	none	one	teaspoon	9.5	10
Brown sugar	none	none	one	"teaspoon, packed"	17.1	17
Calorie-free sweetener	none	none	one	teaspoon	0.0	7
Chocolate sauce 	thin type	post	one	Tablespoon	36.1	52
Syrup 	none	none	one	Tablespoon	49.5	53
Honey	none	none	one	Tablespoon	63.8	64
Butterscotch sauce	none	none	one	Tablespoon	59.0	63
Fudge sauce 	thick type	post	one	Tablespoon	41.4	73
Fruit topping	none	none	one	Tablespoon	51.0	54
Marshmallow topping	none	none	one	Tablespoon	11.2	20
Nut topping	wet	pre	one	Tablespoon	40.9	90
Nutella 	chocolate hazelnut spread	post	one	Tablespoon	30.4	84
Chocolate icing	none	none	one	Tablespoon	48.6	67
White icing	none	none	one	Tablespoon	59.8	80
Dietetic syrup	none	none	one	Tablespoon	1.3	6
Dietetic topping	none	none	one	Tablespoon	1.5	8
Sweet and sour sauce	 Vietnamese	pre	two	Tablespoons	20.2	28
Vanilla or rum dessert sauce	none	none	one	Tablespoon	10.8	24
 Duck sauce 	none	none	 one 	 packet 	 4.24 	 22.33 
Jelly	none	none	one	Tablespoon	27.5	51
Jam	none	none	one	Tablespoon	44.5	55
preserves	none	none	one	Tablespoon	29.6	36
Dietetic jelly 	none	none	one	Tablespoon	0.0	25
All-fruit preserves 	no added sugar	post	one	Tablespoon	0.0	37
Jello	none	none	one	snack-size package	54.4	61
Popsicle	none	none	one	single stick	63.4	63
Sugar-free popsicle	diet	pre	one	single stick	0.0	17
Slurpee or snow cone	none	none	one	cup	209.3	212
Chocolate-covered almonds	none	none	a quarter	cup	22.3	241
Tootsie roll	none	none	one	roll	97.1	139
Caramel candy	none	none	one	piece	15.1	27
Twix cookie bars	none	none	one	regular package	101.8	289
Milk chocolate bar 	plain	pre	one	1.4 ounce bar	69.9	214
Yellow corn 	corn on the cob	pre	one	medium ear	0.0	107
Cooked eggplant	none	none	half	"cup, diced"	0.0	35
Cooked mushrooms	combo with cream sauce	post	half	cup	0.0	22
Vegetable combo 	Asian style	pre	half	cup	0.0	23
Vegetable-pasta 	combo with cream sauce	post	half	cup	0.0	84
Tofu and vegetables 	Monk's food	post	half	cup	0.0	84
Chiles rellenos	none	none	one	chili	0.0	365
Corn pudding 	scalloped corn	post	half	cup	5.7	128
Corn fritter	none	none	half	cup	0.0	202
Eggplant Parmesan	none	none	one	cup	0.0	317
Stuffed mushrooms 	"with bread, meat & cheese"	post	one	stuffed cap	1.5	67
Breaded fried mushrooms	none	none	half	cup	8.8	148
Fried okra	none	none	half	cup	4.9	87
Onion rings	none	none	one	fast food order	8.4	157
Pea salad	none	none	half	cup	0.0	250
Breaded fried summer squash	none	none	half	cup	10.9	185
Breaded fried vegetable sticks	none	none	one	stick	0.2	29
Vegetable tempura	none	none	one	piece	0.0	11
Vegetable-pasta combo	none	none	half	cup	0.0	53
Pickled beets	none	none	a quarter	cup	10.3	27
Corn relish	none	none	a quarter	cup	1.1	51
Kim chee 	made from cabbage	post	a quarter	cup	0.0	8
Dill pickle	none	none	one	spear	0.0	5
Pickle relish	none	none	one	packet (2 teaspoons)	1.3	13
Sweet pickle 	gherkin	post	five	slices	4.0	35
Horseradish	none	none	one	Tablespoon	0.0	7
Mustard	none	none	one	teaspoon	0.0	3
Green olives	none	none	five	small	0.0	21
Black olives	none	none	five	small	0.0	18
Tabasco sauce 	none	none	one	packet	0.0	2
Cream of mushroom soup 	made with milk	post	one	cup	0.0	191
French onion soup	none	none	one	cup	0.8	58
Vegetable soup	none	none	one	cup	0.4	82
Minestrone soup	none	none	one	cup	0.0	84
Vegetable rice soup	none	none	one	cup	2.7	106
Vegetable beef soup 	canned	pre	one	cup	0.0	78
Vegetable broth	none	none	one	cup	2.1	17
Wrap sandwich 	vegetables only	post	one	wrap	0.0	472
Butter	none	none	a quarter	stick	0.0	203
Whipped butter	none	none	one	Tablespoon	0.0	67
Light butter	none	none	a quarter	stick	0.0	141
Stick margarine	none	none	a quarter	stick	0.0	199
Tub margarine	none	none	one	teaspoon	0.0	34
Tub spread 	margarine type	pre	one	teaspoon	0.0	25
Reduced-calorie spread 	margarine type	pre	one	pat 	0.0	17
Fat-free spread (margarine type)	margarine type	pre	one	teaspoon	0.0	2
Bacon grease	 or meat drippings	post	one	Tablespoon	0.0	108
Vegetable shortening	none	none	one	teaspoon	0.0	37
Lemon-butter sauce	none	none	one	Tablespoon	0.0	107
Hollandaise sauce	none	none	one	Tablespoon	0.0	67
Tartar sauce	none	none	one	Tablespoon	1.5	74
Horseradish sauce	none	none	one	Tablespoon	0.0	29
Pesto sauce	none	none	one	Tablespoon	0.0	82
Low-calorie salad dressing	none	none	one	packet	13.6	65
Fat-free mayonnaise-type dressing	none	none	one	Tablespoon	6.2	13
Low-calorie mayonnaise	none	none	one	Tablespoon	3.4	36
Raw tomatoes	none	none	one	wedge a quarter of a medium tomato	0.0	6
Cooked tomatoes	none	none	half	cup	0.0	22
Stewed tomatoes	none	none	half	cup	6.9	33
Fried green tomatoes	none	none	three	slices	0.0	212
Tomato juice	none	none	one	cup	0.0	41
V-8 juice 	tomato vegetable	pre	one	cup	0.0	44
Ketchup 	none	none	one	Tablespoon	9.5	14
Salsa	none	none	one	Tablespoon	0.0	4
Enchilada sauce	none	none	a quarter	cup	0.0	79
Green tomato-chile sauce	none	none	one	Tablespoon	0.0	11
Tomato sauce	none	none	half	cup	0.0	39
Spaghetti sauce 	meatless	post	half	cup	3.6	71
Barbeque sauce	none	none	four	Tablespoons	10.4	47
cabbage	raw	pre	half	cup chopped	0.0	14
cauliflower	raw	pre	half	cup	0.0	13
celery	raw	pre	half	cup diced	0.0	8
Chives	none	none	one	Tablespoon	0.0	1
Cilantro	none	none	a quarter	cup	0.0	1
Cucumber	none	none	one	"stick or strip (4"" long)"	0.0	1
Garlic	none	none	one	clove	0.0	4
Lettuce	none	none	one	"cup, chopped or shredded"	0.0	6
Mixed salad greens	none	none	one	"cup, chopped or shredded"	0.0	9
mushrooms	raw	pre	half	cup pieces or slices	0.0	8
Raw onion	raw	pre	a quarter	cup	0.0	17
Parsley	none	none	five	springs	0.0	0
jalapeno	raw	pre	one	pepper	0.0	19
sweet pepper 	raw	pre	one	slice or ring	0.0	2
Radish	none	none	a quarter	cup slices	0.0	5
Coleslaw	none	none	half	cup	6.6	134
Tossed salad 	lettuce and vegetables	post	one	cup	0.0	12
Artichoke	hearts	post	half	cup	0.0	42
asparagus	cooked	pre	five	small or thin spears	0.0	12
lima beans	cooked	pre	half	cup	0.0	104
green beans	cooked	pre	half	cup	0.0	14
bean sprouts	cooked	pre	half	cup	0.0	29
beets	cooked	pre	half	cup slices	0.0	37
brussels sprouts	cooked	pre	half	cup	0.0	33
cabbage	cooked	pre	half	cup	0.0	17
Cooked cauliflower	none	none	half	cup flowerets	0.0	17
Cream style corn	none	none	half	cup	11.7	92
corn	none	none	one	large ear	0.0	122
okra	Boiled or steamed 	pre	half	cup	0.0	18
Cooked onions	none	none	half	cup	0.0	46
Blackeye peas	none	none	half	cup	0.0	79
Cooked green peas	none	none	half	cup	0.0	66
Cooked sweet peppers	none	none	half	cup	0.0	19
Cooked hot peppers	none	none	one	pepper	0.0	18
Cooked hot peppers	none	none	one	Tablespoon	0.0	4
Sauerkraut	none	none	half	cup	0.0	13
Cooked snowpeas	none	none	half	cup	0.0	34
Zucchini 	none	none	half	cup	0.0	18
summer squash	none	none	half	cup	0.0	18
Cooked turnip	none	none	half	cup pieces	0.0	17
Water chestnut	none	none	half	cup	0.0	40
Vegemite	none	none	one	teaspoon	0.0	9
Succotash 	lima beans and corn	post	half	cup	0.0	88
Bean salad 	"green, yellow, kidney beans"	post	half	cup	2.2	57
Sauteed green peppers & onions	none	none	half	cup	0.0	40
Cooked mixed vegetables	none	none	half	cup	0.0	59
Stew vegetables	none	none	half	cup	0.0	58
Boiled potatoes	none	none	eight	ounces raw	0.0	156
Roasted potatoes	none	none	half	cup	0.0	84
Potato chips	regular	pre	one	cup	0.0	107
"French fries, "	deep-fried	post	one	medium fast food order	3.0	457
Home fries	none	none	half	cup	0.0	179
Hash browns	none	none	half	cup	0.0	157
Potato skin 	with cheese & bacon	post	one	order 10 halves	0.0	1667
Mashed potatoes	" with milk, no butter"	post	half	cup	0.0	85
Tator tots	none	none	half	cup	0.0	142
Stuffed baked potato	with sour cream	post	half	medium potato	0.0	158
Potato salad with egg	none	none	half	cup	0.5	131
Potato salad	none	none	half	cup	0.6	129
Potato pancake 	none	none	one	large 	0.0	70
latke	none	none	one	large 	0.0	70
Cream of potato soup	none	none	one	cup	0.0	136
Plantain soup	none	none	one	cup	0.0	98
Plantain 	boiled or baked	post	half	medium	0.0	137
Fried plantain	none	none	half	medium 	0.0	249
Cassava	none	none	one	piece	0.0	32
Cassava bread	none	none	one	piece 	0.0	299
Cassava with creole sauce	none	none	one	portion	0.0	308
Taro 	"cocoyam, boiled"	post	half	"cup, pieces"	0.0	106
Romaine lettuce	none	none	one	cup	0.0	8
Caesar salad with dressing	none	none	one	cup	1.3	168
Greens	cooked without fat	post	half	cup	0.0	18
spinach	raw	pre	one	cup	0.0	7
Cooked spinach	none	none	half	cup	0.0	30
Creamed spinach	none	none	half	cup	0.0	78
broccoli	raw	pre	half	cup flowerets	0.0	12
Raw broccoli	none	none	half	cup chopped	0.0	15
Cooked broccoli	none	none	half	cup flowerets	0.0	17
Broccoli with cheese sauce	none	none	half	cup	0.0	121
Broccoli-rice casserole	none	none	half	cup	0.0	144
Cream of broccoli soup	none	none	one	cup	0.0	206
Broccoli cheese soup	none	none	one	cup	0.2	165
carrots	raw	pre	half	cup strips or slices	0.0	25
Carrot salad	none	none	half	cup	0.0	208
Cooked carrots	none	none	half	cup slices	0.0	27
Glazed carrots	none	none	half	cup	25.6	101
Carrot juice	none	none	one	cup	0.0	94
Peas and carrots	none	none	half	cup	0.0	38
Baked sweet potato	none	none	one	small	0.0	53
Candied sweet potato	none	none	half	cup	65.5	146
Mashed sweet potato	none	none	half	cup	0.0	107
Raw tomatoes	none	none	one	"medium whole (2-3/5"" across)"	0.0	22
tomatoes	raw	pre	half	"cup, chopped or sliced"	0.0	16
Barbeque sauce	none	none	one	packet	1.5	7
Steak sauce	 A one	pre	one	Tablespoon	3.1	10
Cocktail sauce	none	none	four	Tablespoons	31.3	55
"Tomato cucumber salad, with oil & vinegar"	none	none	half	cup	10.4	92
Cream of tomato soup	none	none	one	cup	4.2	146
Tomato soup 	made with water	post	one	cup	4.2	85
bean sprouts	raw	pre	half	cup	0.0	16
Nectarine	raw	pre	one	whole	0.0	60
Papaya	raw	pre	half	"cup, cubes"	0.0	27
Peach	raw	pre	half	"cup, diced"	0.0	36
Pear	raw	pre	one	medium (2-1/2 per lb)	0.0	96
Persimmons 	raw	pre	one	persimmon	0.0	118
Pineapple	raw	pre	half	"cup, diced"	0.0	37
Plum 	raw	pre	one	plum	0.0	30
Pomegranate 	raw	pre	half	pomegranate	0.0	52
Watermelon	raw	pre	half	"cup, diced"	0.0	23
Blueberries	raw	pre	half	cup	0.0	41
Cranberry sauce	none	none	a quarter	cup	92.6	105
Raspberries 	raw	pre	half	cup	0.0	32
Strawberries (raw)	raw	pre	half	"cup, whole"	0.0	23
Ambrosia	none	none	half	cup	14.3	50
Fruit salad 	no dressing	post	half	cup	0.0	48
Fruit cocktail 	(canned in heavy syrup)	post	one	snack size package (4 oz)	48.8	82
Waldorf salad	none	none	half	cup	0.0	121
Guacamole	none	none	a quarter	cup	0.0	91
Fruit soup	none	none	one	cup	40.2	177
Frozen fruit juice bar	none	none	one	bar	0.0	61
Low-calorie frozen fruit juice bar	none	none	one	bar	12.5	24
Sorbet 	(made with fruit)	post	half	cup	0.0	82
Fruit juice blend 	Juicy Juice	pre	one	cup	0.0	133
Apple cider	none	none	one	cup	0.0	117
Apple juice	100 percent 	pre	one	cup	0.0	117
Cranberry juice 	100 percent 	pre	one	cup	0.0	116
Grape juice 	100 percent 	pre	one	cup	0.0	154
Pineapple juice	100 percent 	pre	one	cup	0.0	140
Prune juice 	100 percent 	pre	one	cup	0.0	182
fruit smoothie	no milk	post	one	commercial smoothie (20 fl oz)	87.4	326
Peach nectar	none	none	one	cup	61.8	134
Vinegar	none	none	one	Tablespoon	0.0	2
Baked potato	 plain 	post	one	medium	0.0	121
Boiled potatoes	none	none	one	medium 	0.0	142
Potato chips	regular all flavors	post	ten	chips	0.0	96
Reduced fat potato chips 	none	none	one	cup	0.0	94
Reduced fat potato chips 	none	none	ten	chips	0.0	80
Pringles	potato chips	post	one	"cup, stacked (20 chips)"	0.0	240
Potato sticks	none	none	half	cup	0.0	99
Au gratin potatoes	none	none	half	cup	0.0	154
Scalloped potatoes	none	none	half	cup	0.0	108
French fries	oven-baked	post	one	cup	0.0	113
Seafood stuffed shells with tomato sauce	none	none	three	jumbo shells	0.2	306
Cheese tortellini with tomato sauce	none	none	one	cup	0.2	333
Cheese tortellini with cream sauce	none	none	one	cup	0.0	390
"Cheese tortellini, no sauce"	none	none	one	cup	0.1	354
Lo mein 	no meat	post	one	cup	0.0	234
Shrimp lo mein	none	none	one	cup	1.2	236
Macaroni and cheese	homemade type	pre	half	cup	1.0	237
Macaroni salad	none	none	half	cup	1.1	170
Macaroni salad with egg	none	none	half	cup	0.9	179
Pasta salad with vegetables	none	none	half	cup	4.4	117
Pasta salad with meat and vegetables	none	none	half	cup	3.3	148
Noodle pudding	none	none	half	cup	0.4	148
Wrap sandwich 	"vegetables, rice"	pre	one	wrap	0.0	675
Chicken noodle soup	none	none	one	cup	0.1	75
Chicken rice soup	none	none	one	cup	0.0	60
Matzo ball soup	none	none	one	cup	0.0	118
Ramen noodle soup	none	none	half	"package, prepared"	0.0	170
Won ton soup	none	none	one	cup	0.0	183
Tortilla soup	none	none	one	cup	0.0	238
Grapefruit	raw	pre	half	medium (4 inch across)	0.0	41
Orange	raw	pre	one	section or slice	0.0	8
Mandarin oranges 	in light syrup	post	half	cup	29.0	77
Tangerine 	none	none	one	"medium (2-3/8"" across)"	0.0	37
Grapefruit juice 	unsweetened	pre	one	cup	0.0	94
Lemon juice	none	none	one	Tablespoon	0.0	4
Orange juice	one hundred percent	pre	one	cup	0.0	105
Dried fruit 	none	none	a quarter	cup	0.0	86
Apple chips	none	none	ten	chips	0.0	101
Banana chips	none	none	a quarter	cup	3.4	66
Fig	dried	pre	one	fig	0.0	47
Prunes	none	none	half	cup pitted	0.0	204
Raisins	none	none	a quarter	cup	0.0	108
Apple	raw	pre	one	medium   - about 3 per pound	0.0	72
Applesauce	unsweetened	pre	half	cup	0.0	52
Baked apple 	sweetened	pre	one	whole	76.5	162
Apricot	raw	pre	one	whole	0.0	17
Avocado	none	none	a quarter	"cup, cubes"	0.0	60
Banana	none	none	one	medium	0.0	105
Cantaloupe	none	none	half	"cup, balls"	0.0	30
Maraschino cherries	none	none	a quarter	cup	46.5	66
Sweet cherries 	raw	pre	half	cup cherries with pits	0.0	37
Grapes	raw	pre	half	cup	0.0	55
Guava	raw	pre	one	whole	0.0	46
Kiwifruit	raw	pre	one	whole	0.0	46
Honeydew	raw	pre	one	medium wedge	0.0	45
Mango 	raw	pre	half	"cup, sliced"	0.0	54
Bean burrito	none	none	one	medium	0.0	295
Bean and cheese	none	none	one	Taco Bell burrito	0.0	519
Beef and cheese enchilada	none	none	one	enchilada	0.0	213
Chicken enchilada	none	none	one	enchilada	0.0	203
Bean enchilada	none	none	one	enchilada	0.0	179
Cheese enchilada	none	none	one	enchilada	0.0	226
Beef taco with cheese and lettuce	none	none	one	taco or tostada	0.0	220
Chicken and cheese quesadilla	none	none	one	piece	0.0	563
Taquitoes	none	none	one	piece	0.0	191
Chicken fajitas with veggies & guacamole	none	none	one	McDonald's fajita	0.0	133
Beef fajitas with veggies	none	none	one	piece	0.0	397
Cheese pizza	thin crust	pre	a quarter	large pizza	2.8	511
"Vegetable pizza, "	thin crust	pre	one	slice	0.8	149
Meat pizza	thin crust	pre	one	slice 	1.0	208
Meat & veggie pizza	thin crust	pre	one	slice	0.8	193
Pizza rolls or bites	none	none	one	miniature roll	0.2	42
Egg roll with vegetables	none	none	one	piece	0.0	100
Egg roll with meat	none	none	one	piece	0.0	113
Fried wonton	none	none	one	piece	0.0	54
Steamed dumpling	meat filled	pre	one	dumpling	0.3	41
Quiche	"with meat, poultry or fish"	post	one	piece 	0.0	568
Spinach quiche	none	none	one	piece 	0.0	342
Meat and cheese turnover 	(Hot Pockets)	post	one	turnover	0.0	358
"Sausage, egg, and cheese croissant"	none	none	one	croissant	18.9	539
Meat lasagna	none	none	one	cup	8.3	390
Spinach lasagna 	vegetarian	pre	one	piece 	7.2	279
Meat ravioli with tomato sauce	none	none	half	cup	21.4	104
Cheese ravioli 	no sauce	post	half	cup	0.0	185
Spaghetti with tomato sauce	none	none	one	cup	3.4	250
Spaghetti with meat sauce	none	none	one	cup	4.2	350
