Food	Variety	Preorpost	Portion_Amount	Unit	Added_Sugars	Calories
Roast pork tenderloin	none	none	four	ounces after cooking	0.0	195
Smoked ham	none	none	one	medium slice	0.0	66
Roast pork 	none	none	one	medium slice	0.0	87
Canadian bacon	none	none	one	slice	0.0	43
Bacon	none	none	one	"medium slice, cooked"	0.0	43
Pork spareribs	none	none	one	large cut (3 ribs)	0.0	533
BBQ spareribs & sauce	none	none	one	medium rib	2.2	124
Fried pork rinds	none	none	one	"cup, pieces"	0.0	174
Lamb chop	none	none	one	large 	0.0	224
Broiled veal chop	none	none	one	large	0.0	292
Veal cutlet 	fried	pre	one	cutlet	0.0	139
Roasted veal	none	none	one	medium slice	0.0	97
Roasted venison	none	none	four	ounces after cooking	0.0	215
fried chicken	Battered 	pre	one	medium piece	0.0	249
chicken breast	baked	pre	one	medium breast	0.0	191
Fried chicken 	breast (no skin)	post	one	medium breast	0.0	158
chicken dark meat	baked	pre	one	large dark meat quarter	0.0	343
chicken thigh	fried	pre	one	medium thigh	0.0	158
chicken wing 	fried	pre	one	medium wing	0.0	102
Chicken patty 	breaded	pre	one	piece	0.0	226
Chicken nuggets	none	none	one	fast food order-6 nuggets	0.0	217
Roasted turkey	white & dark meat	post	one	medium slice	0.0	47
Ground turkey	none	none	half	cup after cooking	0.0	148
Turkey bacon	none	none	one	"medium slice, cooked"	0.0	42
Roasted duck	none	none	one	half	0.0	1284
Roasted Cornish game hen	none	none	one	hen	0.0	793
beef liver	fried	pre	one	slice	0.0	148
Fried chicken liver	fried	pre	one	cup	0.0	372
Chicken liver pate	none	none	one	slice	0.0	57
Hot dog 	none	none	one	piece	0.6	175
Bratwurst	none	none	one	brat	0.0	281
Bologna	none	none	one	medium slice	0.0	86
Low fat bologna	none	none	one	medium slice	0.0	64
Pepperoni	none	none	one	slice	0.1	26
Polish sausage	none	none	half	"cup, sliced"	0.0	234
Breakfast sausage 	(brown & serve)	post	one	patty	0.0	107
Turkey sausage	none	none	one	medium slice 	0.0	59
Vienna sausage	none	none	one	can	0.0	315
Deli ham	regular	post	one	slice	0.0	45
Deli chicken or turkey loaf	none	none	one	slice	0.0	43
Deli sliced turkey or chicken breast	none	none	one	slice	3.9	29
Deli sliced roast beef	none	none	one	slice	0.0	50
Chicken salad spread	none	none	half	cup	0.0	208
Ham salad spread	none	none	half	cup	0.0	273
Baked fish	none	none	one	fillet	0.0	142
Fried fish 	breaded or battered	post	one	fillet	0.0	267
Baked battered fish fillet	none	none	one	patty or fillet	3.7	155
Anchovy	none	none	two	ounces	0.0	119
catfish	baked or broiled	post	one	fillet	0.0	116
Fried catfish	none	none	one	fillet	0.0	182
Baked or broiled cod	none	none	one	fillet	0.0	113
 cod	baked or broiled	post	four	ounces after cooking	0.0	138
Fried cod	none	none	one	fillet	0.0	190
flounder	baked or broiled	post	one	fillet	0.0	173
perch	baked or broiled	post	four	ounces after cooking	0.0	151
salmon	baked or broiled	post	one	steak	0.0	243
Smoked salmon	none	none	one	slice or piece	0.0	23
Baked or broiled trout	baked or broiled	post	one	medium trout	0.0	306
Baked or broiled tuna	baked or broiled	post	one	steak	0.0	228
Canned tuna	in oil	post	half	"can, drained"	0.0	158
Canned tuna in water	none	none	half	"can, drained"	0.0	97
Fried whiting (floured or breaded)	none	none	four	ounces after cooking	2.6	248
Fried calamari	none	none	a quarter	cup	0.9	74
Fried clams	none	none	half	cup 	0.7	111
Steamed clams	none	none	half	cup (1 cup=12 medium clams)	0.0	69
Steamed clams 	none	none	one	"quart, in shell"	0.0	172
Steamed crab 	none	none	one	medium blue crab	0.0	48
crayfish	Steamed or boiled 	post	half	"cup, cooked"	0.0	57
lobster	Steamed or boiled 	post	one	medium lobster tail	0.0	143
Fried oysters	none	none	one	large oyster	0.4	55
scallops	Baked or broiled 	post	half	"cup, cooked"	0.0	125
Fried scallops 	none	none	half	"cup, cooked"	1.5	145
shrimp	"Baked, broiled, or sauteed "	pre	half	"cup, cooked"	0.0	112
Steamed or boiled shrimp	none	none	four	ounces after cooking	0.0	155
Fried shrimp 	none	none	four	ounces after cooking	1.5	274
Spaghetti sauce	with meat 	post	half	cup	2.1	141
Chili con carne	(with beans)	post	half	cup	2.1	132
Beef sloppy joe 	none	none	half	cup	18.4	186
Salisbury steak with gravy	none	none	one	steak with gravy	1.0	218
Teriyaki steak with sauce	none	none	half	cup	6.0	227
Beef curry	none	none	half	cup	0.0	216
Beef with BBQ sauce	none	none	half	cup	5.0	229
Pork with BBQ sauce	none	none	half	cup	4.7	237
Sweet & sour pork	none	none	half	cup	15.9	115
Sausage gravy	none	none	half	cup	0.0	187
Chicken cacciatore	none	none	one	breast with sauce	0.0	382
Chicken teriyaki	none	none	one	breast with sauce	11.3	191
Chicken with BBQ sauce	none	none	half	cup	4.0	250
Buffalo wing 	none	none	one	"wing ""drumette"" with sauce"	0.0	73
Sweet & sour chicken	none	none	half	cup	18.1	112
Chicken curry	none	none	half	cup	0.0	146
Chicken cordon bleu	none	none	one	"roll (breast,ham, sauce)"	2.3	502
Chicken Parmigiana	none	none	one	"breast, sauce and cheese"	1.9	283
Lemon chicken	none	none	half	cup	4.9	335
Corned beef hash	none	none	half	cup	0.0	180
Beef stroganoff with noodles	none	none	one	cup	0.0	343
meatloaf	none	none	one	medium slice	0.1	220
Chicken and rice with cream sauce	none	none	half	cup	0.0	177
Chicken and dumplings	none	none	half	cup	0.0	184
Crab cake	none	none	one	cake	0.0	106
Gefilte fish	none	none	one	piece	0.0	77
Imitation crabmeat	none	none	half	cup	0.0	72
Tuna noodle casserole	none	none	one	cup	2.4	423
Beef stew	with potatoes and vegetables	post	one	cup	0.0	199
"Stir-fried beef, veggies & noodles"	none	none	one	cup	0.0	224
Stuffed cabbage rolls	none	none	one	roll	4.4	117
Stir-fried pork	vegetables & rice	post	one	cup	0.0	245
Sweet & sour pork 	on rice	post	one	cup	23.4	268
Chicken chow mein with noodles	none	none	one	cup	7.4	275
Stir-fried chicken & veggies on rice	none	none	one	cup	0.4	234
Chicken pot pie	none	none	one	cup	0.0	542
turkey pot pie	none	none	one	cup	0.0	542
Gumbo 	"(with rice, New Orleans type)"	post	one	cup	0.0	193
Jambalaya	 (with meat & rice)	post	one	cup	0.0	393
Greens with ham or pork	none	none	half	cup	0.0	39
Stir-fried chicken and vegetables	none	none	half	cup	0.0	90
General Tso chicken	none	none	half	cup	8.7	148
Kung Pao chicken	none	none	half	cup	3.5	217
Chicken salad 	with celery and mayo	post	half	cup	0.0	208
Tuna salad 	with celery and mayo	post	half	cup	2.0	191
Seafood salad 	none	none	half	cup	0.0	163
Tuna egg salad 	with celery and mayo	post	half	cup	1.8	204
Stir-fried shrimp and vegetables	none	none	half	cup	0.8	79
Chef salad	no dressing	post	one	cup	0.0	71
chicken liver	chopped	post	a quarter	cup	0.0	118
Liver and onions	none	none	one	slice with onions	0.0	177
"Cheeseburger,"	plain on bun	post	one	cheeseburger	12.2	317
Quarter pound cheeseburger on bun	none	none	one	quarter pound burger	15.1	552
Double cheeseburger on double deck bun	none	none	one	double cheeseburger	17.1	620
Bacon cheeseburger on bun	none	none	one	cheeseburger	21.9	746
"Hamburger, plain on bun"	plain on bun	post	one	small hamburger on bun	12.1	270
Quarter pound hamburger on bun	none	none	one	quarter pounder	14.3	459
Double hamburger on bun	none	none	one	double hamburger	21.4	384
Meatball Sub	none	none	one	"6"" sub"	19.6	611
Roast beef sandwich	none	none	one	sandwich	9.1	369
Steak sandwich on roll	none	none	one	sandwich	10.6	344
Philly cheese steak 	"(pepper, onion, roll)"	post	one	submarine	14.5	486
"Club sandwich (chicken, bacon, tomato)"	none	none	one	sandwich	15.5	546
Club sandwich 	"(chicken, bacon, tomato)"	post	one	"6"" sub"	15.6	548
Ham sandwich 	with mayo	post	one	sandwich	8.3	271
Chicken sandwich	with mayo	post	one	sandwich	8.4	265
Fried chicken fillet sandwich	none	none	one	sandwich	9.4	323
Fried fish sandwich 	with tartar sauce	post	one	regular sandwich	18.9	374
Corn dog 	none	none	one	corn dog	8.9	280
Pig in a blanket 	none	none	one	pig in a blanket	0.0	275
Sausage biscuit	none	none	one	regular biscuit	2.6	438
Beef sirloin frozen meal	none	none	one	regular meal	0.0	275
Salisbury steak frozen meal	none	none	one	regular meal	0.0	462
Fried chicken frozen meal	none	none	one	large meal (16 oz)	33.4	1025
Chicken Teriyaki frozen meal	none	none	one	regular meal	5.4	361
Chicken with rice diet frozen meal	none	none	one	regular meal	8.0	272
Chicken fettuccine diet frozen meal	none	none	one	regular meal	0.9	265
Turkey with dressing frozen meal	none	none	one	regular meal	83.6	484
Shrimp with pasta diet frozen meal	none	none	one	regular meal	8.4	290
Beef broth 	none	none	one	cup	0.0	17
Pepperpot soup 	none	none	one	cup	0.7	104
Chunky beef vegetable soup	none	none	one	cup	2.1	170
Mexican beef vegetable soup	none	none	one	cup	0.0	143
Pozole	none	none	one	cup	0.0	195
Chicken gumbo soup	none	none	one	cup	5.1	56
Sweet & sour soup	none	none	one	cup	23.7	73
Chicken vegetable soup	none	none	one	cup	0.2	136
Mexican chicken vegetable soup with rice	none	none	one	cup	0.0	182
Hot & sour soup	none	none	one	cup	0.0	161
Cream of chicken soup 	none	none	one	cup	0.1	117
New England clam chowder	none	none	one	cup	0.0	149
Lobster bisque	none	none	one	cup	0.0	248
Chicken gravy	none	none	a quarter	cup	0.1	47
Beef gravy	none	none	a quarter	cup	0.0	31
Mushroom gravy	none	none	a quarter	cup	0.6	16
Mole poblana sauce	none	none	a quarter	cup	0.0	78
boiled egg	none	none	one	large 	0.0	77
Fried egg	none	none	one	large 	0.0	89
Egg white	none	none	a quarter	cup	0.0	21
Deviled egg	none	none	half	egg	0.0	62
Egg salad	none	none	half	cup	0.0	353
Scrambled egg	cooked without fat	post	one	large 	0.0	78
"Egg, cheese & sausage on English muffin"	none	none	one	regular sandwich	3.4	458
"Egg, cheese & sausage on English muffin"	none	none	one	small sandwich	1.8	242
Egg & sausage on biscuit	none	none	one	biscuit	2.8	565
"Egg, cheese & bacon on biscuit"	none	none	one	biscuit	2.6	438
Egg drop soup	none	none	one	cup	0.0	73
Egg Beaters	none	none	half	cup	0.0	60
"Dry beans, cooked with fat"	none	none	half	cup	0.0	165
"Dry beans, cooked without fat"	none	none	half	cup	0.0	110
Baked beans	none	none	half	cup	29.9	118
Refried beans	none	none	half	cup	0.0	182
Hummus	none	none	a quarter	cup	0.0	109
Pork & beans	none	none	half	cup	19.1	124
Dry blackeye peas	cooked without fat	post	half	cup	0.0	97
Chickpeas	none	none	half	cup	0.0	148
Split peas	none	none	half	cup	0.0	115
Lentils	none	none	half	cup	0.0	110
Soy nuts	none	none	a quarter	cup	0.0	110
Tofu	none	none	one	cubic inch piece	0.0	11
Soy sauce	none	none	one	Tablespoon	0.0	8
Teriyaki sauce	none	none	a quarter	cup	20.8	54
Worcestershire sauce	none	none	one	teaspoon	2.0	4
Protein powder	none	none	one	Tablespoon	0.0	37
Tofutti tofu frozen dessert	none	none	half	cup	65.1	180
Bean soup	none	none	one	cup	3.0	137
Miso soup	none	none	one	cup	0.0	84
Bean soup with macaroni	none	none	one	cup	0.0	154
Bean soup with ham	none	none	one	cup	5.6	221
Split pea soup with ham	none	none	one	cup	4.0	195
Lentil soup	none	none	one	cup	0.0	181
Meatless bacon bits	none	none	one	Tablespoon	0.0	33
Meatless sausage	none	none	one	link	0.0	64
Meatless fried chicken 	none	none	one	piece	0.0	84
Meatless hot dog 	no bun	post	one	frankfurter	0.0	163
Soy burger	no bun	post	one	patty	0.2	125
Veggie burger	no bun	post	one	patty	0.2	127
Vegetarian chili	none	none	half	cup	0.0	136
Vegetarian meatloaf 	none	none	one	slice	0.0	110
Almonds	none	none	one	ounce (22 almonds)	0.0	164
Brazil nuts	none	none	a quarter	cup	0.0	230
Cashews	none	none	a quarter	cup	0.0	189
Roasted chestnuts	none	none	a quarter	cup	0.0	88
Shredded sweetened coconut	none	none	a quarter	cup shredded	36.3	110
hazelnuts	none	none	one	ounce (20 nuts)	0.0	176
Macadamia nuts	none	none	one	ounce (11 nuts)	0.0	203
Mixed nuts	none	none	a quarter	cup	0.0	219
Peanuts	none	none	one	ounce (32 peanuts)	0.0	170
Pecans	none	none	one	ounce (20 halves)	0.0	196
Pine nuts	none	none	one	Tablespoon	0.0	58
Pistachios	none	none	a quarter	cup in shell	0.0	82
Walnuts	none	none	one	ounce (14 halves)	0.0	185
Peanut butter	none	none	one	Tablespoon	1.9	96
"Peanut butter, reduced fat"	none	none	one	Tablespoon	3.1	94
Peanut butter and jelly 	none	none	one	Tablespoon	14.0	65
Peanut sauce	none	none	a quarter	cup	3.5	179
Coconut milk	none	none	a quarter	cup	0.0	138
Trail mix 	none	none	a quarter	cup	0.0	176
Sunflower seeds	none	none	one	"ounce, hulled"	0.0	162
Sesame seeds	none	none	a quarter	cup	0.0	213
Flax seed	none	none	a quarter	cup	0.0	178
White bread	none	none	one	regular slice	0.0	69
French bread	none	none	half	mini baguette nine inch long	0.0	208
foccacia	none	none	one	slice	0.0	182
Pita bread 	none	none	one	medium	0.0	124
Cheese bread	none	none	one	slice	4.0	71
Cinnamon bread	none	none	one	slice	4.3	69
Garlic bread	none	none	one	medium slice	0.0	96
Diet high-fiber bread	none	none	one	regular slice	0.0	60
Raisin bread	none	none	one	regular slice	3.1	71
Sourdough bread	none	none	one	medium slice	0.0	69
White roll	none	none	one	pan or dinner roll	0.0	78
Sub roll	none	none	one	"medium (8"" long)"	0.0	262
cinnamon bun	none	none	one	medium roll	86.1	227
Coffee cake	none	none	one	piece 	25.5	139
Fat-free coffee cake	none	none	one	one-inch slice	42.5	94
Croissant	none	none	one	medium croissant 2 ounces	21.6	231
Bagel	plain	pre	one	regular	0.0	289
Raisin bagel	none	none	one	regular 	14.6	288
Bread stuffing	none	none	half	"cup, moist type"	8.8	176
Bread stick	none	none	one	medium	0.0	41
Croutons	none	none	a quarter	cup	4.9	47
English muffin	none	none	one	muffin	3.7	136
English muffin with raisins	none	none	one	muffin	33.2	141
Melba toast	none	none	one	piece	0.1	20
 whole wheat bread	hundred percent	pre	one	regular slice	20.3	69
Pita bread 	100% whole wheat	post	one	medium	0.9	120
Wheat or cracked wheat bread	none	none	one	regular slice	4.4	65
cracked wheat bread	none	none	one	large slice	5.3	78
Wheat Bagel 	none	none	one	regular (4 oz)	0.0	300
Cracked wheat English muffin	none	none	one	muffin	2.9	129
Wheat roll	none	none	one	pan or dinner roll	4.5	82
Rye bread	none	none	one	regular slice	0.0	67
Multigrain bread	none	none	one	regular slice	9.0	65
Diet high-fiber multigrain bread	none	none	one	regular slice	8.1	61
Refrigerated biscuit 	none	none	one	biscuit	0.0	66
Buttermilk biscuit	none	none	one	medium	1.8	186
Cornbread stuffing	none	none	half	"cup, moist type"	14.1	179
Cornbread 	none	none	one	medium muffin or square	34.8	174
Hush puppy	none	none	one	hush puppy	0.0	74
Corn tortilla	none	none	one	medium 	0.0	53
Flour tortilla	none	none	one	medium	0.0	166
Whole wheat tortilla	none	none	one	medium 	0.0	105
Taco hell	none	none	one	medium 	0.0	62
Blueberry muffin	none	none	one	medium 	72.2	313
Fat-free berry muffin	none	none	one	medium 	69.1	295
Chocolate chip muffin	none	none	one	medium 	42.4	364
Plain muffin	none	none	one	medium 	20.8	345
Matzo ball	none	none	one	ball	0.0	48
Fruit bread 	none	none	one	slice 	47.3	132
Zucchini bread	none	none	one	slice 	35.9	150
Angel food cake	none	none	one	piece 	65.0	143
Carrot cake	 with icing	post	one	"piece, 1-layer cake"	118.1	326
Cheesecake	none	none	one	single serving cake	48.0	182
Chocolate cake with icing	none	none	one	"piece, 1-layer cake"	119.0	246
Chocolate cupcake 	with icing	post	one	medium cupcake 	51.7	150
Ice cream cake	none	none	one	piece 	34.5	91
Pound cake	none	none	one	piece 	101.2	350
Upside down cake 	with fruit	post	one	piece	101.0	275
White cake 	with icing	post	one	"piece, 2-layer cake"	214.9	415
Yellow cake with icing	with icing	post	one	"piece, 2-layer cake"	194.8	400
Fruit shortcake 	with whipped cream	post	one	"piece (3"" across)"	124.6	211
Biscotti	none	none	one	biscotti	32.6	145
Brownie	no icing	post	one	"brownie (2"" square)"	48.0	129
Chocolate fudge cookie	none	none	one	"medium (2"" across)"	14.3	56
Moon pie	none	none	one	moon pie	122.8	328
Oreo cookie	none	none	one	regular	14.7	52
hin mint cookie	none	none	one	Girl Scout thin mint	9.5	34
Chocolate wafer cookie	none	none	one	"medium (1-3/4"" across)"	13.2	52
Chocolate wafer cookie	none	none	one	small or thin	6.6	26
Fig bar 	Fig Newton 	pre	one	bar 	19.2	56
Fortune cookie	none	none	one	piece	14.0	30
Ice cream cone 	"(wafer or cake, shell only)"	post	one	cone	0.9	17
Marshmallow rice krispies bar	none	none	one	"bar (2"" square)"	43.1	113
Oatmeal raisin cookie	none	none	one	"medium (2-5/8"" across)"	10.8	59
Reduced-fat oatmeal raisin cookie	none	none	one	cookie	10.8	52
Peanut butter cookie	none	none	one	medium	18.8	76
Shortbread cookie	Lorna Doone	pre	one	small 	3.9	35
Sugar cookie	none	none	one	small (2 inch across)	9.1	43
Vanilla sandwich cookie	none	none	one	sandwich	16.7	53
Vanilla wafer	none	none	one	medium	4.5	18
Apple pie	two crust	post	one	"piece (1/8 of 9"" pie)"	62.2	356
Apple pie with crumb topping	none	none	one	"piece (1/8 of 9"" pie)"	113.0	363
Chocolate cream pie	none	none	one	"piece (1/8 of 9"" pie)"	93.7	380
Pumpkin pie	none	none	one	"piece (1/8 of 9"" pie)"	62.9	323
Lemon meringue pie	none	none	one	"piece (1/8 of 9"" pie)"	172.3	367
Pecan pie	none	none	one	"piece (1/8 of 9"" pie)"	170.4	456
Cheese blintz	none	none	one	blintz	1.2	134
Fruit blintz	none	none	one	blintz	2.0	123
Peach cobbler	none	none	half	cup	69.6	209
Apple crisp	none	none	half	cup	59.5	192
Cream puff 	none	none	one	éclair	26.9	267
Plain Danish pastry	none	none	one	"medium (4-1/4"" across)"	45.4	262
Fruit-filled Danish pastry	none	none	one	"medium (4-1/4"" across)"	60.3	263
Cheese Danish pastry	none	none	one	"medium (5"" across)"	29.6	419
Fat-free cheese Danish pastry	none	none	one	slice	41.4	95
Cake doughnut	none	none	one	"medium (3-1/4"" across)"	38.7	198
Chocolate raised doughnut	frosted	post	one	"medium (3"" across)"	88.5	275
Raised doughnut	none	none	one	"medium (3-3/4"" across)"	52.8	242
Jelly doughnut	none	none	one	piece	51.7	221
Pop Tart	none	none	one	piece	37.7	204
Breakfast bar	none	none	one	bar	49.9	139
Meal replacement bar	 Slim Fast 	pre	one	bar	31.1	143
Granola bar	none	none	one	bar	27.6	130
Lowfat granola bar	none	none	one	bar	32.6	95
Chocolate-covered granola bar	Quaker Oats 	pre	one	bar	49.0	133
Powerbar	none	none	one	bar	43.5	229
Animal cracker	none	none	a quarter	individual box	7.2	64
Graham cracker	none	none	one	large rectangle (2 squares)	16.7	59
Snack cracker	none	none	one	round cracker (Ritz)	0.2	15
Reduced-fat snack cracker	none	none	one	round cracker (Ritz)	0.8	12
Cheese cracker	none	none	a quarter	cup bit-size crackers	0.0	67
Reduced fat cheese cracker	none	none	a quarter	cup	0.1	50
Matzo	none	none	one	matzo	0.0	111
Saltine cracker	none	none	one	square cracker	0.0	13
Peanut butter sandwich cracker	none	none	one	sandwich	0.9	12
Cheese sandwich cracker	none	none	one	sandwich	0.3	33
whole wheat cracker 	Triscuit	pre	one	cracker	0.0	18
Reduced-fat Triscuit	none	none	one	cracker	0.0	16
Wheat cracker	none	none	eight	Wheat Thins	7.8	76
Corn chips 	Fritos	pre	one	cup	0.0	237
Corn puffs	Cheetos	pre	one	cup	0.0	194
Tortilla chips 	"Doritos, Tostitos"	pre	one	cup	0.0	160
Low-fat corn puffs 	cheese curls	post	one	cup	0.0	104
Popcorn	" oil popped, no butter"	post	one	"bag, popped"	0.0	440
Buttered popcorn	none	none	one	"bag, popped"	0.0	458
Caramel corn	none	none	one	popcorn ball	104.0	216
Hard pretzels	none	none	one	single serving bag (1 oz)	0.0	107
Soft pretzel	none	none	one	medium (4 oz)	0.0	389
Snack Mix 	none	none	a quarter	cup	2.0	47
Blueberry pancakes	none	none	two	"medium (5"" across)"	3.6	152
Whole wheat pancakes	none	none	two	"medium (5"" across)"	9.9	183
Waffle	none	none	one	"round (4"" across)"	3.2	103
Lowfat waffle	none	none	one	"square (4"" square)"	28.6	87
French toast	none	none	one	regular slice (2 oz)	15.5	158
French toast sticks	none	none	one	stick	14.9	76
Spaghetti	none	none	one	"cup, cooked"	0.0	196
macaroni	none	none	one	"cup, cooked"	0.0	196
pasta	none	none	one	"cup, cooked"	0.0	196
Egg noodles	none	none	one	"cup, cooked"	0.0	211
Egg noodles with butter or oil	none	none	one	"cup, cooked"	0.0	252
Mung bean noodles	none	none	one	"cup, cooked"	0.0	160
Chow fun rice noodles	none	none	one	"cup, cooked"	0.0	171
Whole wheat spaghetti 	none	none	one	"cup, cooked"	0.0	172
Cooked barley	none	none	half	cup	0.0	99
Grits	none	none	half	"cup, cooked"	0.0	56
"Grits, with butter"	none	none	half	"cup, cooked"	0.0	89
Oatmeal	plain	post	half	"cup, cooked"	0.0	73
White rice	none	none	half	"cup, cooked"	0.0	102
Brown rice	none	none	half	"cup, cooked"	0.0	107
Wild rice	none	none	half	"cup, cooked"	0.0	65
Cream of wheat	none	none	half	"cup, cooked"	0.0	55
All-Bran cereal	none	none	one	single serving box	24.9	91
Apple Jacks cereal	none	none	one	single serving box	49.7	105
Cap'n Crunch cereal	none	none	one	cup	60.3	144
Cheerios	none	none	one	single serving box	2.8	77
Chex cereal 	none	none	one	cup	14.6	143
Cinnamon Toast Crunch cereal	none	none	one	single serving box	43.2	139
Cocoa Puffs cereal	none	none	one	cup	54.3	117
Corn flakes	cereal	post	one	single serving box	4.8	76
Fiber One cereal	none	none	one	cup	0.0	118
Bran flakes cereal	none	none	one	cup	31.6	144
Froot Loops cereal	none	none	one	single serving box	48.8	106
Frosted Mini-Wheats cereal	none	none	one	single serving box	26.1	119
Fruity Pebbles cereal	none	none	one	cup	61.2	144
Golden Grahams cereal	none	none	one	cup	52.7	149
Granola cereal	 (homemade)	pre	half	cup	22.4	299
Low-fat granola cereal	none	none	half	cup	59.8	209
Grape-Nuts cereal	none	none	a quarter	cup	12.1	98
Honey Bunches of Oats cereal	none	none	one	cup	32.3	158
Honeycomb cereal	none	none	one	cup	32.1	87
Honey Nut Cheerios	none	none	one	single serving box	36.9	104
Honey Smacks cereal	none	none	one	cup	84.3	151
Kashi	puffed cereal	post	one	cup	0.0	88
Kix cereal	none	none	one	single serving box	7.3	68
Life cereal	plain & cinnamon	post	one	cup	32.1	165
Lucky Charms cereal	none	none	one	cup	49.6	114
